policy,budget_factor,lead_time,origin,order_units,purchase_spend,budget,solver_status,solver_gap
Scenario optimisation,0.8,0,1850,2963,3568.5719999999997,3568.6224000000007,0,5.7217198713472283e-05
Scenario optimisation,0.8,0,1857,3039,3625.506,3625.6271999999994,0,0.00014298574515271437
Scenario optimisation,0.8,0,1864,3203,3741.0719999999997,3741.199200000002,0,0.00016536999058858851
Scenario optimisation,0.8,0,1871,3274,3703.7219999999998,3703.8059999999996,0,5.632617854851687e-05
Scenario optimisation,0.8,0,1878,3242,3691.3500000000004,3691.3824000000004,0,0.0001431651644862652
Scenario optimisation,0.8,0,1885,3256,3820.6620000000007,3821.004000000002,0,0.0004525522987301441
Scenario optimisation,0.8,0,1892,3317,3809.502,3809.8296000000005,0,0.00021773637559468716
Scenario optimisation,0.8,0,1899,3440,3977.3219999999997,3977.3292000000006,0,5.519495762367059e-06
Scenario optimisation,0.8,0,1906,3389,3931.26,3931.261200000001,0,9.82011533137369e-05
Trailing mean cover,1.0,0,1829,765,883.5420000000001,4404.567,,
Trailing mean cover,1.0,0,1836,3726,4153.302,4318.688999999999,,
Trailing mean cover,1.0,0,1843,3672,4217.856,4311.456,,
Trailing mean cover,1.0,0,1850,3822,4460.718000000001,4460.778,,
Trailing mean cover,1.0,0,1857,3945,4531.7519999999995,4532.033999999999,,
Trailing mean cover,1.0,0,1864,3994,4676.406000000001,4676.499000000002,,
Trailing mean cover,1.0,0,1871,3810,4334.088,4629.757499999999,,
Trailing mean cover,1.0,0,1878,3968,4425.257999999999,4614.228,,
Trailing mean cover,1.0,0,1885,4120,4775.862,4776.255000000002,,
Trailing mean cover,1.0,0,1892,4170,4761.792,4762.287,,
Trailing mean cover,1.0,0,1899,4210,4971.599999999999,4971.6615,,
Trailing mean cover,1.0,0,1906,3801,4490.574,4914.0765,,
Forecast cover,1.0,0,1829,1096,1381.128,4404.567,,
Forecast cover,1.0,0,1836,3592,4007.886000000002,4318.688999999999,,
Forecast cover,1.0,0,1843,3693,4311.4439999999995,4311.456,,
Forecast cover,1.0,0,1850,3807,4460.7660000000005,4460.778,,
Forecast cover,1.0,0,1857,3882,4531.866000000001,4532.033999999999,,
Forecast cover,1.0,0,1864,4043,4676.424,4676.499000000002,,
Forecast cover,1.0,0,1871,3838,4303.463999999999,4629.757499999999,,
Forecast cover,1.0,0,1878,4003,4554.695999999999,4614.228,,
Forecast cover,1.0,0,1885,4107,4775.97,4776.255000000002,,
Forecast cover,1.0,0,1892,4108,4762.26,4762.287,,
Forecast cover,1.0,0,1899,4311,4971.299999999999,4971.6615,,
Forecast cover,1.0,0,1906,3781,4462.259999999999,4914.0765,,
Scenario optimisation,1.0,0,1829,2256,2584.1400000000003,4404.567,0,0.0
Scenario optimisation,1.0,0,1836,3921,4313.502,4318.688999999999,0,0.0
Scenario optimisation,1.0,0,1843,3747,4311.4259999999995,4311.456,0,0.000606874665071193
Scenario optimisation,1.0,0,1850,3454,4112.1900000000005,4460.778,0,0.0
Scenario optimisation,1.0,0,1857,3903,4531.955999999998,4532.033999999999,0,0.0003783478931087741
Scenario optimisation,1.0,0,1864,4012,4676.441999999999,4676.499000000002,0,0.00030807200004387403
Scenario optimisation,1.0,0,1871,4327,4629.744,4629.757499999999,0,0.0007575831842851924
Scenario optimisation,1.0,0,1878,4076,4613.964000000001,4614.228,0,0.0009905375844814974
Scenario optimisation,1.0,0,1885,4080,4776.228,4776.255000000002,0,0.00046094045674121566
Scenario optimisation,1.0,0,1892,4164,4762.2,4762.287,0,0.00019406081236859454
Scenario optimisation,1.0,0,1899,4361,4971.521999999999,4971.6615,0,0.00015555198416916983
Scenario optimisation,1.0,0,1906,4084,4734.906,4914.0765,0,0.0
Trailing mean cover,1.2,0,1829,765,883.5420000000001,5285.4804,,
Trailing mean cover,1.2,0,1836,3726,4153.302,5182.4268,,
Trailing mean cover,1.2,0,1843,3672,4217.856,5173.747200000001,,
Trailing mean cover,1.2,0,1850,3946,4605.7440000000015,5352.9336,,
Trailing mean cover,1.2,0,1857,3850,4419.822,5438.4407999999985,,
Trailing mean cover,1.2,0,1864,4090,4784.736,5611.798800000002,,
Trailing mean cover,1.2,0,1871,3727,4237.446,5555.708999999999,,
Trailing mean cover,1.2,0,1878,3967,4424.057999999999,5537.073600000001,,
Trailing mean cover,1.2,0,1885,4197,4868.111999999999,5731.506000000003,,
Trailing mean cover,1.2,0,1892,4106,4680.906,5714.7444000000005,,
Trailing mean cover,1.2,0,1899,4358,5147.01,5965.9938,,
Trailing mean cover,1.2,0,1906,3667,4334.424,5896.8918,,
Forecast cover,1.2,0,1829,1096,1381.128,5285.4804,,
Forecast cover,1.2,0,1836,3592,4007.886000000002,5182.4268,,
Forecast cover,1.2,0,1843,3707,4323.966,5173.747200000001,,
Forecast cover,1.2,0,1850,3850,4510.296,5352.9336,,
Forecast cover,1.2,0,1857,4056,4738.650000000002,5438.4407999999985,,
Forecast cover,1.2,0,1864,4142,4806.942000000001,5611.798800000002,,
Forecast cover,1.2,0,1871,3604,4031.3520000000003,5555.708999999999,,
Forecast cover,1.2,0,1878,4002,4553.495999999998,5537.073600000001,,
Forecast cover,1.2,0,1885,4541,5285.16,5731.506000000003,,
Forecast cover,1.2,0,1892,4394,5067.078,5714.7444000000005,,
Forecast cover,1.2,0,1899,4014,4673.562,5965.9938,,
Forecast cover,1.2,0,1906,3591,4247.687999999999,5896.8918,,
Scenario optimisation,1.2,0,1829,2256,2584.1400000000003,5285.4804,0,0.0
Scenario optimisation,1.2,0,1836,3921,4313.502,5182.4268,0,0.0
Scenario optimisation,1.2,0,1843,3878,4452.6179999999995,5173.747200000001,0,0.0
Scenario optimisation,1.2,0,1850,3337,3995.8619999999996,5352.9336,0,0.0
Scenario optimisation,1.2,0,1857,4756,5417.688000000001,5438.4407999999985,0,0.0
Scenario optimisation,1.2,0,1864,3823,4462.428,5611.798800000002,0,0.0
Scenario optimisation,1.2,0,1871,3913,4251.293999999999,5555.708999999999,0,0.0
Scenario optimisation,1.2,0,1878,4064,4621.674000000001,5537.073600000001,0,0.0
Scenario optimisation,1.2,0,1885,4401,5057.633999999999,5731.506000000003,0,0.0
Scenario optimisation,1.2,0,1892,4674,5297.334000000001,5714.7444000000005,0,0.0
Scenario optimisation,1.2,0,1899,4010,4650.462,5965.9938,0,0.0
Scenario optimisation,1.2,0,1906,3507,4115.088,5896.8918,0,0.0
Trailing mean cover,0.8,2,1829,863,996.852,3523.6536,,
Trailing mean cover,0.8,2,1836,3115,3454.884,3454.9512,,
Trailing mean cover,0.8,2,1843,3044,3449.1239999999993,3449.1648000000005,,
Trailing mean cover,0.8,2,1850,3053,3568.6139999999996,3568.6224000000007,,
Trailing mean cover,0.8,2,1857,3158,3625.47,3625.6271999999994,,
Trailing mean cover,0.8,2,1864,3203,3741.0780000000004,3741.199200000002,,
Trailing mean cover,0.8,2,1871,3278,3703.5959999999995,3703.8059999999996,,
Trailing mean cover,0.8,2,1878,3276,3691.278,3691.3824000000004,,
Trailing mean cover,0.8,2,1885,3294,3820.9560000000006,3821.004000000002,,
Trailing mean cover,0.8,2,1892,3327,3809.597999999999,3809.8296000000005,,
Trailing mean cover,0.8,2,1899,3415,3976.9919999999997,3977.3292000000006,,
Trailing mean cover,0.8,2,1906,3375,3930.8759999999993,3931.261200000001,,
Forecast cover,0.8,2,1829,1201,1537.332,3523.6536,,
Forecast cover,0.8,2,1836,3131,3454.667999999999,3454.9512,,
Forecast cover,0.8,2,1843,2975,3448.824,3449.1648000000005,,
Forecast cover,0.8,2,1850,3005,3568.2420000000006,3568.6224000000007,,
Forecast cover,0.8,2,1857,3107,3625.3920000000003,3625.6271999999994,,
Forecast cover,0.8,2,1864,3238,3741.0660000000003,3741.199200000002,,
Forecast cover,0.8,2,1871,3318,3703.704,3703.8059999999996,,
Forecast cover,0.8,2,1878,3233,3690.9839999999995,3691.3824000000004,,
Forecast cover,0.8,2,1885,3277,3820.974,3821.004000000002,,
Forecast cover,0.8,2,1892,3306,3809.73,3809.8296000000005,,
Forecast cover,0.8,2,1899,3445,3977.2439999999992,3977.3292000000006,,
Forecast cover,0.8,2,1906,3381,3930.9900000000002,3931.261200000001,,
Scenario optimisation,0.8,2,1829,2640,3043.674000000001,3523.6536,0,0.0
Scenario optimisation,0.8,2,1836,3101,3454.932,3454.9512,0,0.0007856231264373808
Scenario optimisation,0.8,2,1843,2973,3449.0279999999993,3449.1648000000005,0,0.0003401915424253492
Scenario optimisation,0.8,2,1850,2935,3568.5720000000006,3568.6224000000007,0,3.396666996541655e-05
Scenario optimisation,0.8,2,1857,3101,3625.4280000000003,3625.6271999999994,0,0.000310985555299378
Scenario optimisation,0.8,2,1864,3206,3740.6279999999997,3741.199200000002,0,0.0003519749372021933
Scenario optimisation,0.8,2,1871,3366,3703.7820000000006,3703.8059999999996,0,1.6358598172412642e-05
Scenario optimisation,0.8,2,1878,3226,3691.1939999999995,3691.3824000000004,0,0.0001980638978006275
Scenario optimisation,0.8,2,1885,3291,3820.9620000000004,3821.004000000002,0,0.00040104429944667154
Scenario optimisation,0.8,2,1892,3378,3809.676,3809.8296000000005,0,0.0004401146391405986
Scenario optimisation,0.8,2,1899,3314,3977.304,3977.3292000000006,0,0.00035312510625792176
Scenario optimisation,0.8,2,1906,3445,3931.1520000000005,3931.261200000001,0,8.85747834416983e-05
Trailing mean cover,1.0,2,1829,863,996.852,4404.567,,
Trailing mean cover,1.0,2,1836,3812,4226.987999999999,4318.688999999999,,
Trailing mean cover,1.0,2,1843,3823,4311.204000000001,4311.456,,
Trailing mean cover,1.0,2,1850,3759,4460.268000000001,4460.778,,
Trailing mean cover,1.0,2,1857,3990,4531.985999999999,4532.033999999999,,
Trailing mean cover,1.0,2,1864,3922,4676.196,4676.499000000002,,
Trailing mean cover,1.0,2,1871,3951,4482.504,4629.757499999999,,
Trailing mean cover,1.0,2,1878,4008,4450.295999999999,4614.228,,
Trailing mean cover,1.0,2,1885,4153,4776.138,4776.255000000002,,
Trailing mean cover,1.0,2,1892,4193,4762.278,4762.287,,
Trailing mean cover,1.0,2,1899,4148,4971.66,4971.6615,,
Trailing mean cover,1.0,2,1906,3954,4600.3859999999995,4914.0765,,
Forecast cover,1.0,2,1829,1201,1537.332,4404.567,,
Forecast cover,1.0,2,1836,3642,4022.922,4318.688999999999,,
Forecast cover,1.0,2,1843,3718,4311.33,4311.456,,
Forecast cover,1.0,2,1850,3729,4460.5560000000005,4460.778,,
Forecast cover,1.0,2,1857,3935,4532.028000000001,4532.033999999999,,
Forecast cover,1.0,2,1864,3999,4676.3640000000005,4676.499000000002,,
Forecast cover,1.0,2,1871,3919,4298.028,4629.757499999999,,
Forecast cover,1.0,2,1878,4000,4587.941999999999,4614.228,,
Forecast cover,1.0,2,1885,4105,4776.227999999999,4776.255000000002,,
Forecast cover,1.0,2,1892,4189,4762.163999999999,4762.287,,
Forecast cover,1.0,2,1899,4176,4971.552,4971.6615,,
Forecast cover,1.0,2,1906,3851,4452.018,4914.0765,,
Scenario optimisation,1.0,2,1829,2640,3043.674000000001,4404.567,0,0.0
Scenario optimisation,1.0,2,1836,3516,3833.8019999999997,4318.688999999999,0,0.0
Scenario optimisation,1.0,2,1843,3769,4311.353999999999,4311.456,0,0.0009550371655426103
Scenario optimisation,1.0,2,1850,3731,4460.262000000001,4460.778,0,0.0005286940713421616
Scenario optimisation,1.0,2,1857,3912,4531.973999999999,4532.033999999999,0,0.0
Scenario optimisation,1.0,2,1864,4071,4676.448000000001,4676.499000000002,0,0.0006060753382710568
Scenario optimisation,1.0,2,1871,4228,4629.744000000001,4629.757499999999,0,0.0001251400897472967
Scenario optimisation,1.0,2,1878,4066,4613.688,4614.228,0,0.0
Scenario optimisation,1.0,2,1885,4103,4776.2519999999995,4776.255000000002,0,0.00012314050248821552
Scenario optimisation,1.0,2,1892,4182,4762.248,4762.287,0,0.0004801638722196145
Scenario optimisation,1.0,2,1899,4324,4971.36,4971.6615,0,0.0007328052558193301
Scenario optimisation,1.0,2,1906,3925,4517.400000000001,4914.0765,0,0.0
Trailing mean cover,1.2,2,1829,863,996.852,5285.4804,,
Trailing mean cover,1.2,2,1836,3812,4226.987999999999,5182.4268,,
Trailing mean cover,1.2,2,1843,3909,4407.852000000001,5173.747200000001,,
Trailing mean cover,1.2,2,1850,3890,4623.839999999998,5352.9336,,
Trailing mean cover,1.2,2,1857,3907,4430.922,5438.4407999999985,,
Trailing mean cover,1.2,2,1864,4115,4915.854000000001,5611.798800000002,,
Trailing mean cover,1.2,2,1871,3698,4173.498,5555.708999999999,,
Trailing mean cover,1.2,2,1878,4013,4461.816,5537.073600000001,,
Trailing mean cover,1.2,2,1885,4393,5055.084,5731.506000000003,,
Trailing mean cover,1.2,2,1892,4133,4689.414000000001,5714.7444000000005,,
Trailing mean cover,1.2,2,1899,4464,5361.281999999999,5965.9938,,
Trailing mean cover,1.2,2,1906,3534,4102.1759999999995,5896.8918,,
Forecast cover,1.2,2,1829,1201,1537.332,5285.4804,,
Forecast cover,1.2,2,1836,3642,4022.922,5182.4268,,
Forecast cover,1.2,2,1843,3822,4433.129999999999,5173.747200000001,,
Forecast cover,1.2,2,1850,3950,4730.651999999999,5352.9336,,
Forecast cover,1.2,2,1857,4000,4583.67,5438.4407999999985,,
Forecast cover,1.2,2,1864,4109,4810.110000000001,5611.798800000002,,
Forecast cover,1.2,2,1871,3566,3899.5499999999993,5555.708999999999,,
Forecast cover,1.2,2,1878,4035,4618.134,5537.073600000001,,
Forecast cover,1.2,2,1885,4803,5589.03,5731.506000000003,,
Forecast cover,1.2,2,1892,4273,4841.490000000001,5714.7444000000005,,
Forecast cover,1.2,2,1899,3951,4715.988,5965.9938,,
Forecast cover,1.2,2,1906,3495,4080.06,5896.8918,,
Scenario optimisation,1.2,2,1829,2640,3043.674000000001,5285.4804,0,0.0
Scenario optimisation,1.2,2,1836,3516,3833.8019999999997,5182.4268,0,0.0
Scenario optimisation,1.2,2,1843,3797,4352.262,5173.747200000001,0,0.0
Scenario optimisation,1.2,2,1850,4331,5064.066,5352.9336,0,0.0
Scenario optimisation,1.2,2,1857,4062,4717.902000000001,5438.4407999999985,0,0.0
Scenario optimisation,1.2,2,1864,4098,4700.22,5611.798800000002,0,0.0
Scenario optimisation,1.2,2,1871,3683,4059.1259999999993,5555.708999999999,0,0.0
Scenario optimisation,1.2,2,1878,4056,4608.42,5537.073600000001,0,0.0
Scenario optimisation,1.2,2,1885,4662,5375.142,5731.506000000003,0,0.0
Scenario optimisation,1.2,2,1892,4512,5071.992000000001,5714.7444000000005,0,0.0
Scenario optimisation,1.2,2,1899,3806,4448.586,5965.9938,0,0.0
Scenario optimisation,1.2,2,1906,3519,4094.1179999999995,5896.8918,0,0.0
Trailing mean cover,0.8,4,1829,954,1107.6,3523.6536,,
Trailing mean cover,0.8,4,1836,3131,3454.7940000000003,3454.9512,,
Trailing mean cover,0.8,4,1843,3053,3448.968,3449.1648000000005,,
Trailing mean cover,0.8,4,1850,3039,3568.5599999999986,3568.6224000000007,,
Trailing mean cover,0.8,4,1857,3167,3625.3260000000005,3625.6271999999994,,
Trailing mean cover,0.8,4,1864,3174,3740.7480000000005,3741.199200000002,,
Trailing mean cover,0.8,4,1871,3280,3703.4699999999993,3703.8059999999996,,
Trailing mean cover,0.8,4,1878,3269,3691.332,3691.3824000000004,,
Trailing mean cover,0.8,4,1885,3311,3820.9320000000002,3821.004000000002,,
Trailing mean cover,0.8,4,1892,3321,3809.826,3809.8296000000005,,
Trailing mean cover,0.8,4,1899,3413,3977.328,3977.3292000000006,,
Trailing mean cover,0.8,4,1906,3350,3931.2479999999996,3931.261200000001,,
Forecast cover,0.8,4,1829,1232,1574.8140000000003,3523.6536,,
Forecast cover,0.8,4,1836,3129,3454.836,3454.9512,,
Forecast cover,0.8,4,1843,2969,3448.98,3449.1648000000005,,
Forecast cover,0.8,4,1850,2986,3568.3379999999997,3568.6224000000007,,
Forecast cover,0.8,4,1857,3122,3625.3980000000006,3625.6271999999994,,
Forecast cover,0.8,4,1864,3203,3741.1320000000005,3741.199200000002,,
Forecast cover,0.8,4,1871,3341,3703.7519999999995,3703.8059999999996,,
Forecast cover,0.8,4,1878,3207,3691.032,3691.3824000000004,,
Forecast cover,0.8,4,1885,3286,3820.7400000000002,3821.004000000002,,
Forecast cover,0.8,4,1892,3299,3809.5260000000007,3809.8296000000005,,
Forecast cover,0.8,4,1899,3427,3976.8840000000005,3977.3292000000006,,
Forecast cover,0.8,4,1906,3359,3931.2119999999995,3931.261200000001,,
Scenario optimisation,0.8,4,1829,2482,2821.23,3523.6536,0,0.0
Scenario optimisation,0.8,4,1836,3078,3454.716,3454.9512,0,0.0004888754041398122
Scenario optimisation,0.8,4,1843,2989,3449.1180000000004,3449.1648000000005,0,0.00025195003977419405
Scenario optimisation,0.8,4,1850,2821,3568.5899999999997,3568.6224000000007,0,0.00011414956477035564
Scenario optimisation,0.8,4,1857,3131,3625.554,3625.6271999999994,0,0.00017365323592670375
Scenario optimisation,0.8,4,1864,3146,3741.042,3741.199200000002,0,0.00019841741395299693
Scenario optimisation,0.8,4,1871,3373,3703.4939999999997,3703.8059999999996,0,0.0005350229885164751
Scenario optimisation,0.8,4,1878,3252,3691.3679999999995,3691.3824000000004,0,0.00020522983614111126
Scenario optimisation,0.8,4,1885,3263,3820.8239999999996,3821.004000000002,0,0.00025113659919181406
Scenario optimisation,0.8,4,1892,3367,3809.826,3809.8296000000005,0,1.864195118457913e-05
Scenario optimisation,0.8,4,1899,3363,3977.214,3977.3292000000006,0,0.0001074168232789978
Scenario optimisation,0.8,4,1906,3442,3931.1700000000005,3931.261200000001,0,0.00014918788030176622
Trailing mean cover,1.0,4,1829,954,1107.6,4404.567,,
Trailing mean cover,1.0,4,1836,3847,4247.454,4318.688999999999,,
Trailing mean cover,1.0,4,1843,3800,4311.39,4311.456,,
Trailing mean cover,1.0,4,1850,3766,4460.778000000001,4460.778,,
Trailing mean cover,1.0,4,1857,3976,4531.950000000001,4532.033999999999,,
Trailing mean cover,1.0,4,1864,3933,4676.417999999999,4676.499000000002,,
Trailing mean cover,1.0,4,1871,4050,4629.624,4629.757499999999,,
Trailing mean cover,1.0,4,1878,4093,4507.943999999999,4614.228,,
Trailing mean cover,1.0,4,1885,4179,4776.198,4776.255000000002,,
Trailing mean cover,1.0,4,1892,4183,4762.061999999999,4762.287,,
Trailing mean cover,1.0,4,1899,4148,4971.5160000000005,4971.6615,,
Trailing mean cover,1.0,4,1906,4030,4707.0599999999995,4914.0765,,
Forecast cover,1.0,4,1829,1232,1574.8140000000003,4404.567,,
Forecast cover,1.0,4,1836,3588,3961.7459999999996,4318.688999999999,,
Forecast cover,1.0,4,1843,3682,4311.186,4311.456,,
Forecast cover,1.0,4,1850,3734,4460.639999999999,4460.778,,
Forecast cover,1.0,4,1857,3914,4531.902000000001,4532.033999999999,,
Forecast cover,1.0,4,1864,4036,4676.094,4676.499000000002,,
Forecast cover,1.0,4,1871,3909,4326.702,4629.757499999999,,
Forecast cover,1.0,4,1878,4001,4614.053999999999,4614.228,,
Forecast cover,1.0,4,1885,4110,4775.915999999999,4776.255000000002,,
Forecast cover,1.0,4,1892,4200,4761.924,4762.287,,
Forecast cover,1.0,4,1899,4201,4971.348,4971.6615,,
Forecast cover,1.0,4,1906,3860,4537.901999999999,4914.0765,,
Scenario optimisation,1.0,4,1829,2482,2821.23,4404.567,0,0.0
Scenario optimisation,1.0,4,1836,3913,4294.65,4318.688999999999,0,0.0
Scenario optimisation,1.0,4,1843,3741,4311.420000000001,4311.456,0,0.0009041784655825112
Scenario optimisation,1.0,4,1850,3784,4460.358000000001,4460.778,0,0.0008516212405992696
Scenario optimisation,1.0,4,1857,3861,4532.016,4532.033999999999,0,0.00037589609017211757
Scenario optimisation,1.0,4,1864,4039,4676.490000000001,4676.499000000002,0,3.2841488883337504e-06
Scenario optimisation,1.0,4,1871,4017,4383.528000000001,4629.757499999999,0,0.0
Scenario optimisation,1.0,4,1878,4105,4613.855999999999,4614.228,0,0.0005120705408073808
Scenario optimisation,1.0,4,1885,4056,4776.192,4776.255000000002,0,0.00028889546295973923
Scenario optimisation,1.0,4,1892,4218,4762.14,4762.287,0,0.0003708907973670639
Scenario optimisation,1.0,4,1899,4393,4971.456,4971.6615,0,0.0005775710898324045
Scenario optimisation,1.0,4,1906,4175,4913.952,4914.0765,0,0.0
Trailing mean cover,1.2,4,1829,954,1107.6,5285.4804,,
Trailing mean cover,1.2,4,1836,3847,4247.454,5182.4268,,
Trailing mean cover,1.2,4,1843,3899,4420.860000000001,5173.747200000001,,
Trailing mean cover,1.2,4,1850,3935,4673.285999999999,5352.9336,,
Trailing mean cover,1.2,4,1857,3914,4444.907999999999,5438.4407999999985,,
Trailing mean cover,1.2,4,1864,4222,5030.249999999999,5611.798800000002,,
Trailing mean cover,1.2,4,1871,3667,4169.3460000000005,5555.708999999999,,
Trailing mean cover,1.2,4,1878,4063,4487.526,5537.073600000001,,
Trailing mean cover,1.2,4,1885,4412,5044.518000000001,5731.506000000003,,
Trailing mean cover,1.2,4,1892,4114,4679.7,5714.7444000000005,,
Trailing mean cover,1.2,4,1899,4541,5453.141999999999,5965.9938,,
Trailing mean cover,1.2,4,1906,3535,4114.896,5896.8918,,
Forecast cover,1.2,4,1829,1232,1574.8140000000003,5285.4804,,
Forecast cover,1.2,4,1836,3588,3961.7459999999996,5182.4268,,
Forecast cover,1.2,4,1843,3847,4504.398000000001,5173.747200000001,,
Forecast cover,1.2,4,1850,4062,4864.164000000002,5352.9336,,
Forecast cover,1.2,4,1857,3940,4546.5779999999995,5438.4407999999985,,
Forecast cover,1.2,4,1864,4134,4766.472,5611.798800000002,,
Forecast cover,1.2,4,1871,3498,3865.3799999999997,5555.708999999999,,
Forecast cover,1.2,4,1878,4098,4706.892000000001,5537.073600000001,,
Forecast cover,1.2,4,1885,4923,5727.792,5731.506000000003,,
Forecast cover,1.2,4,1892,4168,4698.239999999999,5714.7444000000005,,
Forecast cover,1.2,4,1899,3940,4717.410000000001,5965.9938,,
Forecast cover,1.2,4,1906,3500,4129.92,5896.8918,,
Scenario optimisation,1.2,4,1829,2482,2821.23,5285.4804,0,0.0
Scenario optimisation,1.2,4,1836,3913,4294.65,5182.4268,0,0.0
Scenario optimisation,1.2,4,1843,3773,4352.232000000001,5173.747200000001,0,0.0
Scenario optimisation,1.2,4,1850,4032,4767.126,5352.9336,0,0.0
Scenario optimisation,1.2,4,1857,4347,5001.114,5438.4407999999985,0,0.0
Scenario optimisation,1.2,4,1864,4066,4673.556,5611.798800000002,0,0.0
Scenario optimisation,1.2,4,1871,3346,3697.002,5555.708999999999,0,0.0
Scenario optimisation,1.2,4,1878,4292,4865.333999999999,5537.073600000001,0,0.0
Scenario optimisation,1.2,4,1885,4897,5636.231999999998,5731.506000000003,0,0.0
Scenario optimisation,1.2,4,1892,4152,4660.253999999999,5714.7444000000005,0,0.0
Scenario optimisation,1.2,4,1899,4121,4765.602,5965.9938,0,0.0
Scenario optimisation,1.2,4,1906,3596,4248.534000000001,5896.8918,0,0.0
